source_id,time_bin,west_in,east_in,north_in,south_in,total_flow
zhandong_road2,0,3,3,4,2,12
zhandong_road2,1,3,3,1,2,9
zhandong_road2,2,0,3,4,2,9
zhandong_road2,3,0,1,3,2,6
zhandong_road2,4,0,1,3,4,8
zhandong_road2,5,0,3,3,1,7
zhandong_road2,6,0,3,1,2,6
zhandong_road2,7,0,1,3,2,6
zhandong_road2,8,1,3,4,4,12
zhandong_road2,9,0,1,3,3,7
zhandong_road2,10,2,2,1,1,6
zhandong_road2,11,5,6,1,0,12
zhandong_road2,12,3,5,1,0,9
zhandong_road2,13,4,2,2,0,8
zhandong_road2,14,3,4,1,0,8
zhandong_road2,15,2,4,0,0,6
zhandong_road2,16,5,3,1,0,9
zhandong_road2,17,3,3,1,0,7
zhandong_road2,18,3,1,4,1,9
zhandong_road2,19,0,2,5,1,8
zhandong_road2,20,0,3,2,1,6
zhandong_road2,21,0,2,3,3,8
zhandong_road2,22,0,2,4,3,9
zhandong_road2,23,0,2,4,4,10
zhandong_road2,24,0,1,2,2,5
zhandong_road2,25,0,0,5,3,8
zhandong_road2,26,0,0,3,2,5
zhandong_road2,27,1,1,3,2,7
zhandong_road2,28,0,2,1,4,7
zhandong_road2,29,4,7,0,0,11
zhandong_road2,30,5,4,3,1,13
zhandong_road2,31,4,2,0,0,6
zhandong_road2,32,1,1,2,0,4
zhandong_road2,33,0,4,2,0,6
zhandong_road2,34,3,2,0,0,5
zhandong_road2,35,1,1,1,0,3
zhandong_road2,36,2,4,2,0,8
zhandong_road2,37,0,0,3,2,5
zhandong_road2,38,0,0,1,1,2
zhandong_road2,39,0,2,3,4,9
zhandong_road2,40,0,3,4,2,9
zhandong_road2,41,0,1,5,4,10
zhandong_road2,42,0,2,3,1,6
zhandong_road2,43,0,1,1,0,2
